Name,Phone,Website,Email,"Display Phone","Location Address",URL,"Review Count","Is Closed","Location latitude","Location longitude"
Floriana,2026675937,florianarestaurant.com,jamie@florianarestaurant.com,+1-202-667-5937,"Washington, DC 20009 Dupont Circle 1602 17th St NW ",http://www.yelp.com/biz/floriana-washington?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,444,,38.91133287092,-77.03865500008
"Triple B Fresh",2022322338,,jamie@florianarestaurant.com,+1-202-232-2338,"Washington, DC 20036 Dupont Circle 1506 19th St NW ",http://www.yelp.com/biz/triple-b-fresh-washington?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,256,,38.910726017092,-77.043606596298
"St. Arnold's On Jefferson",2028331321,starnoldsmusselbar.com,,+1-202-833-1321,"Washington, DC 20036 Dupont Circle 1827 Jefferson Pl NW ",http://www.yelp.com/biz/st-arnolds-on-jefferson-washington?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,569,,38.90665435791,-77.042785644531
"Ezme Restaurant & Wine Bar",2022234303,ezmedc.com,info@ezmedc.com,+1-202-223-4303,"Washington, DC 20036 Dupont Circle 2016 P St NW ",http://www.yelp.com/biz/ezme-restaurant-and-wine-bar-washington-3?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,266,,38.9096307,-77.0454744
"Duke's Grocery",2027335623,dukesgrocery.com,dukesgrocery@gmail.com,+1-202-733-5623,"Washington, DC 20036 Dupont Circle 1513 17th St NW ",http://www.yelp.com/biz/dukes-grocery-washington?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,535,,38.9101969,-77.038134
"Pizzeria Paradiso",2022231245,eatyourpizza.com,info@eatyourpizza.com,+1-202-223-1245,"Washington, DC 20036 Dupont Circle 2003 P St NW ",http://www.yelp.com/biz/pizzeria-paradiso-washington?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,881,,38.909810918629,-77.045146696705
"Hank's Oyster Bar",2024624265,hanksdc.com,EMaier@hanksoysterbar.com,+1-202-462-4265,"Washington, DC 20009 Dupont Circle 1624 Q St NW ",http://www.yelp.com/biz/hanks-oyster-bar-washington?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,981,,38.9109878,-77.038207
Firefly,2028611310,,EMaier@hanksoysterbar.com,+1-202-861-1310,"Washington, DC 20036 Dupont Circle 1310 New Hampshire Ave NW ",http://www.yelp.com/biz/firefly-washington?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,838,,38.9076499,-77.04582
"Nazca Mochica",2027333170,nazcamochica.com,,+1-202-733-3170,"Washington, DC 20036 Dupont Circle 1633 P St NW ",http://www.yelp.com/biz/nazca-mochica-washington-2?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,146,,38.9099,-77.03797
"Little Serow",,littleserow.com,,,"Washington, DC 20036 Dupont Circle 1511 17th St NW ",http://www.yelp.com/biz/little-serow-washington?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,490,,38.91012,-77.03813
Urbana,2029566650,urbanadc.com,info@urbanadc.com,+1-202-956-6650,"Washington, DC 20037 Dupont Circle 2121 P St NW ",http://www.yelp.com/biz/urbana-washington?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,704,,38.9098016,-77.0474696
"Tabard Inn Restaurant",2023318528,tabardinn.com/restaurant,,+1-202-331-8528,"Washington, DC 20036 Dupont Circle 1739 N St NW ",http://www.yelp.com/biz/tabard-inn-restaurant-washington-2?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,1334,,38.9075203,-77.0399933
Otello,2024290209,otellodc.com,,+1-202-429-0209,"Washington, DC 20036 Dupont Circle 1329 Connecticut Ave NW ",http://www.yelp.com/biz/otello-washington?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,211,,38.908138275146,-77.042106628418
Floriana,2026675937,florianarestaurant.com,jamie@florianarestaurant.com,+1-202-667-5937,"Washington, DC 20009 Dupont Circle 1602 17th St NW ",http://www.yelp.com/biz/floriana-washington?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,444,,38.91133287092,-77.03865500008
